Gene.stable.ID	Gene.name
ENSCHAG00000005390	trav14dv4
ENSCHAG00000005403	tradv31.0
ENSCHAG00000005434	iglv2-14
ENSCHAG00000005455	trav6
ENSCHAG00000005472	heatr6
ENSCHAG00000005475	
ENSCHAG00000005478	
ENSCHAG00000005486	trav38-2dv8
ENSCHAG00000005509	acvr2bb
ENSCHAG00000005510	
ENSCHAG00000005519	vpreb2
ENSCHAG00000005543	trav19
ENSCHAG00000005561	vtcn1
ENSCHAG00000005586	btn3a2
ENSCHAG00000005593	
ENSCHAG00000005600	
ENSCHAG00000005603	cct4
ENSCHAG00000005613	heatr6
ENSCHAG00000005643	
ENSCHAG00000005671	
ENSCHAG00000005675	
ENSCHAG00000005703	
ENSCHAG00000005709	zgc:113984
ENSCHAG00000005712	
ENSCHAG00000005715	zgc:112234
ENSCHAG00000005719	trim13
ENSCHAG00000005727	
ENSCHAG00000005732	caprin2
ENSCHAG00000005741	caprin2
ENSCHAG00000005748	mov10b.1
ENSCHAG00000005760	caprin2
ENSCHAG00000005776	
ENSCHAG00000005783	btn3a1
ENSCHAG00000005797	
ENSCHAG00000005799	piga
ENSCHAG00000005813	tra
ENSCHAG00000005823	pigr
ENSCHAG00000005830	sugct
ENSCHAG00000005844	
ENSCHAG00000005867	
ENSCHAG00000005876	jupa
ENSCHAG00000005877	selenof
ENSCHAG00000005885	cd22
ENSCHAG00000005886	slc25a24
ENSCHAG00000005916	gimap8
ENSCHAG00000005930	pskh1
ENSCHAG00000005942	
ENSCHAG00000005946	sirt7
ENSCHAG00000005959	nlrc3
ENSCHAG00000006030	rgma
ENSCHAG00000006055	CPO
ENSCHAG00000006074	trim13
ENSCHAG00000006125	dnaja3b
ENSCHAG00000006151	trim13
ENSCHAG00000006176	
ENSCHAG00000006214	trim13
ENSCHAG00000006217	ly9
ENSCHAG00000006249	cd48
ENSCHAG00000006272	trim13
ENSCHAG00000006279	
ENSCHAG00000006298	trim13
ENSCHAG00000006331	tra
ENSCHAG00000006441	ccdc166
ENSCHAG00000006455	si:dkey-178e17.3
ENSCHAG00000006464	tra
ENSCHAG00000006469	nlrp1
ENSCHAG00000006472	trim16
ENSCHAG00000006487	
ENSCHAG00000006498	
ENSCHAG00000006499	trim13
ENSCHAG00000006515	trim47
ENSCHAG00000006528	tigd1
ENSCHAG00000006536	
ENSCHAG00000006634	endod1
ENSCHAG00000006638	siglec1
ENSCHAG00000006640	trim13
ENSCHAG00000006642	mefv
ENSCHAG00000006645	cd22
ENSCHAG00000006656	
ENSCHAG00000006676	trim13
ENSCHAG00000006677	igkv2-28
ENSCHAG00000006695	
ENSCHAG00000006726	igkv3-11
ENSCHAG00000006732	igkc
ENSCHAG00000006753	
ENSCHAG00000006781	igkv1-33
ENSCHAG00000006789	he1.2
ENSCHAG00000006791	nlrp1
ENSCHAG00000006809	nlrc5
ENSCHAG00000006810	prss8
ENSCHAG00000006867	trim13
ENSCHAG00000006909	
ENSCHAG00000006927	trbv2
ENSCHAG00000006941	capn9
ENSCHAG00000007093	
ENSCHAG00000007139	
ENSCHAG00000007175	cd300c
ENSCHAG00000007180	nlrc3
ENSCHAG00000007209	trim13
ENSCHAG00000007274	rbmx
ENSCHAG00000007289	trim13
ENSCHAG00000007324	bax
ENSCHAG00000007325	tspearb
ENSCHAG00000007334	nlrc5
ENSCHAG00000007343	rcc2
ENSCHAG00000007361	
ENSCHAG00000007371	trim13
ENSCHAG00000007381	
ENSCHAG00000007382	
ENSCHAG00000007388	bax
ENSCHAG00000007415	trim13
ENSCHAG00000007426	trim13
ENSCHAG00000007436	tmem237a
ENSCHAG00000007443	trav13-1
ENSCHAG00000007449	
ENSCHAG00000007482	
ENSCHAG00000007489	trim13
ENSCHAG00000007513	trim13
ENSCHAG00000007517	trim13
ENSCHAG00000007560	nlrc5
ENSCHAG00000007592	
ENSCHAG00000007605	gtpbp2b
ENSCHAG00000007606	
ENSCHAG00000007610	TMC6
ENSCHAG00000007621	trim13
