Gene stable ID	GO term accession
ENSCHAG00000000206	GO:0008289
ENSCHAG00000000207	GO:0004523
ENSCHAG00000000207	GO:0003676
ENSCHAG00000000208	
ENSCHAG00000000209	GO:0006508
ENSCHAG00000000209	GO:0004252
ENSCHAG00000000210	
ENSCHAG00000000211	GO:0016020
ENSCHAG00000000212	GO:0008643
ENSCHAG00000000212	GO:0015293
ENSCHAG00000000212	GO:0016021
ENSCHAG00000000213	
ENSCHAG00000000214	GO:0009972
ENSCHAG00000000214	GO:0004126
ENSCHAG00000000214	GO:0008270
ENSCHAG00000000214	GO:0016787
ENSCHAG00000000214	GO:0003824
ENSCHAG00000000216	
ENSCHAG00000000218	GO:0004089
ENSCHAG00000000218	GO:0008270
ENSCHAG00000000220	GO:0006468
ENSCHAG00000000220	GO:0004672
ENSCHAG00000000220	GO:0005524
ENSCHAG00000000221	GO:0046872
ENSCHAG00000000221	GO:0008270
ENSCHAG00000000221	GO:0005515
ENSCHAG00000000222	GO:0005833
ENSCHAG00000000222	GO:0015671
ENSCHAG00000000222	GO:0020037
ENSCHAG00000000222	GO:0019825
ENSCHAG00000000223	GO:0003779
ENSCHAG00000000223	GO:0007009
ENSCHAG00000000224	
ENSCHAG00000000225	
ENSCHAG00000000226	GO:0061630
ENSCHAG00000000226	GO:0000209
ENSCHAG00000000226	GO:0034976
ENSCHAG00000000226	GO:0005783
ENSCHAG00000000226	GO:0043130
ENSCHAG00000000227	GO:0016021
ENSCHAG00000000228	GO:0051260
ENSCHAG00000000228	GO:0016020
ENSCHAG00000000229	GO:0003676
ENSCHAG00000000230	GO:0000422
ENSCHAG00000000230	GO:0007005
ENSCHAG00000000230	GO:0048823
ENSCHAG00000000230	GO:0051402
ENSCHAG00000000230	GO:0060872
ENSCHAG00000000230	GO:0071542
ENSCHAG00000000230	GO:1900746
ENSCHAG00000000230	GO:2000377
ENSCHAG00000000230	GO:0005739
ENSCHAG00000000230	GO:0005829
ENSCHAG00000000230	GO:0004674
ENSCHAG00000000230	GO:0006468
ENSCHAG00000000230	GO:0004672
ENSCHAG00000000230	GO:0005524
ENSCHAG00000000231	GO:0005515
ENSCHAG00000000233	
ENSCHAG00000000234	GO:0008270
ENSCHAG00000000234	GO:0005515
ENSCHAG00000000235	GO:0003401
ENSCHAG00000000235	GO:0050666
ENSCHAG00000000235	GO:0019343
ENSCHAG00000000235	GO:0004122
ENSCHAG00000000235	GO:0006535
ENSCHAG00000000235	GO:0005737
ENSCHAG00000000236	GO:0005515
ENSCHAG00000000237	GO:0042074
ENSCHAG00000000237	GO:0001945
ENSCHAG00000000237	GO:0007507
ENSCHAG00000000237	GO:0035479
ENSCHAG00000000237	GO:0035987
ENSCHAG00000000237	GO:0055113
ENSCHAG00000000237	GO:1900107
ENSCHAG00000000237	GO:0070121
ENSCHAG00000000237	GO:0007368
ENSCHAG00000000237	GO:0061371
ENSCHAG00000000237	GO:0071910
ENSCHAG00000000237	GO:0060182
ENSCHAG00000000237	GO:0007186
ENSCHAG00000000237	GO:0004930
ENSCHAG00000000237	GO:0016021
ENSCHAG00000000238	GO:0051260
ENSCHAG00000000238	GO:0016020
ENSCHAG00000000240	GO:0006412
ENSCHAG00000000240	GO:0005840
ENSCHAG00000000240	GO:0003735
ENSCHAG00000000241	
ENSCHAG00000000242	
ENSCHAG00000000243	
ENSCHAG00000000244	GO:0003007
ENSCHAG00000000244	GO:0003272
ENSCHAG00000000244	GO:0036302
ENSCHAG00000000244	GO:0046578
ENSCHAG00000000244	GO:0019835
ENSCHAG00000000244	GO:0016021
ENSCHAG00000000245	
ENSCHAG00000000245	GO:0007094
ENSCHAG00000000246	GO:0006751
ENSCHAG00000000246	GO:0036374
ENSCHAG00000000248	GO:0010842
ENSCHAG00000000248	GO:0021575
ENSCHAG00000000248	GO:0030182
ENSCHAG00000000248	GO:0030902
ENSCHAG00000000248	GO:0032330
ENSCHAG00000000248	GO:0060041
ENSCHAG00000000248	GO:0060059
ENSCHAG00000000248	GO:0072498
ENSCHAG00000000248	GO:0005634
ENSCHAG00000000248	GO:0003677
ENSCHAG00000000248	GO:0006355
ENSCHAG00000000248	GO:0000981
ENSCHAG00000000249	GO:0005509
ENSCHAG00000000249	GO:0005515
ENSCHAG00000000250	GO:0003755
ENSCHAG00000000251	GO:0016705
ENSCHAG00000000251	GO:0005506
ENSCHAG00000000251	GO:0020037
ENSCHAG00000000251	GO:0055114
ENSCHAG00000000253	GO:0051726
ENSCHAG00000000254	GO:0016274
ENSCHAG00000000254	GO:0018216
ENSCHAG00000000256	GO:0005515
ENSCHAG00000000257	GO:0005515
ENSCHAG00000000260	GO:0005515
ENSCHAG00000000262	
ENSCHAG00000000264	GO:0006468
ENSCHAG00000000264	GO:0004672
ENSCHAG00000000264	GO:0005524
ENSCHAG00000000265	GO:0016813
ENSCHAG00000000265	GO:0046872
ENSCHAG00000000266	GO:0004386
ENSCHAG00000000266	GO:0003676
ENSCHAG00000000266	GO:0005524
ENSCHAG00000000268	GO:0008061
ENSCHAG00000000268	GO:0005975
ENSCHAG00000000268	GO:0004553
ENSCHAG00000000268	GO:0005576
ENSCHAG00000000269	GO:0005634
ENSCHAG00000000269	GO:0014032
ENSCHAG00000000269	GO:0046983
ENSCHAG00000000269	GO:0003700
ENSCHAG00000000269	GO:0006355
ENSCHAG00000000270	GO:0005737
ENSCHAG00000000270	GO:0019509
ENSCHAG00000000270	GO:0046872
ENSCHAG00000000271	GO:0010133
ENSCHAG00000000271	GO:0003842
ENSCHAG00000000271	GO:0016620
ENSCHAG00000000271	GO:0016491
ENSCHAG00000000271	GO:0055114
ENSCHAG00000000272	GO:0016641
ENSCHAG00000000272	GO:0005044
ENSCHAG00000000272	GO:0005507
ENSCHAG00000000272	GO:0055114
ENSCHAG00000000272	GO:0016020
ENSCHAG00000000273	
ENSCHAG00000000274	GO:0043010
ENSCHAG00000000274	GO:0046549
ENSCHAG00000000274	GO:0016592
ENSCHAG00000000275	
ENSCHAG00000000276	GO:0004984
ENSCHAG00000000276	GO:0007186
ENSCHAG00000000276	GO:0004930
ENSCHAG00000000276	GO:0016021
ENSCHAG00000000277	GO:0022857
ENSCHAG00000000277	GO:0055085
ENSCHAG00000000277	GO:0016020
ENSCHAG00000000277	GO:0016021
ENSCHAG00000000278	GO:0030027
ENSCHAG00000000278	GO:2000813
ENSCHAG00000000278	GO:1902745
ENSCHAG00000000278	GO:0051638
ENSCHAG00000000278	GO:0030335
ENSCHAG00000000278	GO:0005515
ENSCHAG00000000279	GO:0005515
ENSCHAG00000000279	GO:0072015
ENSCHAG00000000279	GO:0032836
ENSCHAG00000000280	
ENSCHAG00000000281	GO:0055113
ENSCHAG00000000281	GO:0043325
ENSCHAG00000000281	GO:0045545
ENSCHAG00000000281	GO:0001666
ENSCHAG00000000281	GO:0007416
ENSCHAG00000000281	GO:0042246
ENSCHAG00000000281	GO:0005515
ENSCHAG00000000282	GO:0006412
ENSCHAG00000000282	GO:0005840
ENSCHAG00000000282	GO:0003735
ENSCHAG00000000283	GO:0005515
ENSCHAG00000000284	
ENSCHAG00000000285	GO:0004222
ENSCHAG00000000285	GO:0008237
ENSCHAG00000000285	GO:0006508
ENSCHAG00000000286	GO:0005886
ENSCHAG00000000286	GO:0022857
ENSCHAG00000000286	GO:0055085
ENSCHAG00000000286	GO:0016021
ENSCHAG00000000287	
ENSCHAG00000000288	GO:0007166
ENSCHAG00000000288	GO:0004888
ENSCHAG00000000288	GO:0007186
ENSCHAG00000000288	GO:0004930
ENSCHAG00000000288	GO:0016020
ENSCHAG00000000288	GO:0016021
ENSCHAG00000000289	GO:0006468
ENSCHAG00000000289	GO:0004672
ENSCHAG00000000289	GO:0005524
ENSCHAG00000000290	GO:0005515
ENSCHAG00000000291	
ENSCHAG00000000292	
ENSCHAG00000000293	GO:0007155
ENSCHAG00000000293	GO:0005540
ENSCHAG00000000293	GO:0016021
ENSCHAG00000000294	
ENSCHAG00000000295	GO:0046983
ENSCHAG00000000295	GO:0003700
ENSCHAG00000000295	GO:0003677
ENSCHAG00000000295	GO:0006355
ENSCHAG00000000296	GO:0016126
ENSCHAG00000000296	GO:0016628
ENSCHAG00000000296	GO:0016020
ENSCHAG00000000297	
ENSCHAG00000000298	
ENSCHAG00000000299	
ENSCHAG00000000300	GO:0005515
ENSCHAG00000000301	GO:0032330
ENSCHAG00000000301	GO:0072498
ENSCHAG00000000301	GO:0005634
ENSCHAG00000000301	GO:0003677
ENSCHAG00000000301	GO:0006355
ENSCHAG00000000301	GO:0000981
ENSCHAG00000000302	GO:0005515
ENSCHAG00000000303	GO:0005886
ENSCHAG00000000303	GO:0016020
ENSCHAG00000000304	GO:0004967
ENSCHAG00000000304	GO:0017046
ENSCHAG00000000304	GO:0010906
ENSCHAG00000000304	GO:0007166
ENSCHAG00000000304	GO:0004888
ENSCHAG00000000304	GO:0016519
ENSCHAG00000000304	GO:0007186
ENSCHAG00000000304	GO:0004930
ENSCHAG00000000304	GO:0016020
ENSCHAG00000000304	GO:0016021
ENSCHAG00000000305	
ENSCHAG00000000306	GO:0016021
ENSCHAG00000000308	GO:0006081
ENSCHAG00000000308	GO:0016620
ENSCHAG00000000308	GO:0016491
ENSCHAG00000000308	GO:0055114
ENSCHAG00000000309	GO:0060070
ENSCHAG00000000309	GO:0016055
ENSCHAG00000000309	GO:0005515
ENSCHAG00000000310	GO:0030163
ENSCHAG00000000310	GO:0036402
ENSCHAG00000000310	GO:0016887
ENSCHAG00000000310	GO:0005737
ENSCHAG00000000310	GO:0016787
ENSCHAG00000000310	GO:0005524
ENSCHAG00000000311	GO:0005634
ENSCHAG00000000311	GO:0003700
ENSCHAG00000000311	GO:0003677
ENSCHAG00000000311	GO:0006355
ENSCHAG00000000311	GO:0006357
ENSCHAG00000000315	GO:0017075
ENSCHAG00000000315	GO:0051659
ENSCHAG00000000315	GO:0044295
ENSCHAG00000000316	GO:0016813
ENSCHAG00000000316	GO:0046872
ENSCHAG00000000317	GO:0032981
ENSCHAG00000000318	GO:0005515
ENSCHAG00000000319	
ENSCHAG00000000319	GO:0061298
ENSCHAG00000000319	GO:0005515
ENSCHAG00000000320	GO:0003677
ENSCHAG00000000320	GO:0006355
ENSCHAG00000000320	GO:0000981
ENSCHAG00000000322	
ENSCHAG00000000324	GO:0016020
ENSCHAG00000000326	GO:0030971
ENSCHAG00000000326	GO:0030116
ENSCHAG00000000326	GO:0008083
ENSCHAG00000000327	GO:0005515
ENSCHAG00000000329	GO:0046983
ENSCHAG00000000329	GO:0003677
ENSCHAG00000000329	GO:0006355
ENSCHAG00000000330	
ENSCHAG00000000331	GO:0006281
ENSCHAG00000000331	GO:0051539
ENSCHAG00000000331	GO:0006284
ENSCHAG00000000331	GO:0003677
ENSCHAG00000000331	GO:0016787
ENSCHAG00000000331	GO:0003824
ENSCHAG00000000332	GO:0006751
ENSCHAG00000000332	GO:0036374
ENSCHAG00000000333	GO:0008080
ENSCHAG00000000334	GO:0000786
ENSCHAG00000000334	GO:0046982
ENSCHAG00000000334	GO:0003677
ENSCHAG00000000336	
ENSCHAG00000000337	GO:0005515
ENSCHAG00000000339	GO:0007166
ENSCHAG00000000339	GO:0004888
ENSCHAG00000000339	GO:0007186
ENSCHAG00000000339	GO:0004930
ENSCHAG00000000339	GO:0016021
ENSCHAG00000000340	GO:0004571
ENSCHAG00000000340	GO:0005975
ENSCHAG00000000340	GO:0016020
ENSCHAG00000000340	GO:0005509
ENSCHAG00000000342	GO:0016272
ENSCHAG00000000342	GO:0006457
ENSCHAG00000000342	GO:0051082
ENSCHAG00000000344	
ENSCHAG00000000345	GO:0070588
ENSCHAG00000000345	GO:0005262
ENSCHAG00000000345	GO:0016020
ENSCHAG00000000345	GO:0016021
ENSCHAG00000000345	GO:0005515
ENSCHAG00000000345	GO:0055085
ENSCHAG00000000345	GO:0006811
ENSCHAG00000000345	GO:0005216
ENSCHAG00000000346	GO:0004465
ENSCHAG00000000346	GO:0006629
ENSCHAG00000000346	GO:0052689
ENSCHAG00000000346	GO:0004806
ENSCHAG00000000346	GO:0005515
ENSCHAG00000000347	GO:0003676
ENSCHAG00000000349	
ENSCHAG00000000350	GO:0005675
ENSCHAG00000000350	GO:0045737
ENSCHAG00000000350	GO:0006289
ENSCHAG00000000350	GO:0061575
ENSCHAG00000000351	GO:0005887
ENSCHAG00000000351	GO:0032218
ENSCHAG00000000351	GO:0032217
ENSCHAG00000000352	GO:0008417
ENSCHAG00000000352	GO:0006486
ENSCHAG00000000352	GO:0016020
ENSCHAG00000000353	GO:0006895
ENSCHAG00000000355	GO:0007264
ENSCHAG00000000355	GO:0005085
ENSCHAG00000000357	GO:0016021
ENSCHAG00000000358	GO:0003700
ENSCHAG00000000358	GO:0006355
ENSCHAG00000000358	GO:0043565
ENSCHAG00000000358	GO:0005515
ENSCHAG00000000360	
ENSCHAG00000000361	
ENSCHAG00000000363	GO:0043516
ENSCHAG00000000363	GO:0043523
ENSCHAG00000000363	GO:2000177
ENSCHAG00000000365	GO:0016286
ENSCHAG00000000365	GO:0015269
ENSCHAG00000000365	GO:0005516
ENSCHAG00000000365	GO:0006813
ENSCHAG00000000365	GO:0016021
ENSCHAG00000000366	
ENSCHAG00000000367	GO:0007186
ENSCHAG00000000367	GO:0004930
ENSCHAG00000000367	GO:0016021
ENSCHAG00000000369	
ENSCHAG00000000372	GO:0036302
ENSCHAG00000000372	GO:0030155
ENSCHAG00000000372	GO:0007264
ENSCHAG00000000372	GO:0005525
ENSCHAG00000000372	GO:0003924
ENSCHAG00000000373	
ENSCHAG00000000375	GO:0008009
ENSCHAG00000000375	GO:0005576
ENSCHAG00000000375	GO:0006955
ENSCHAG00000000376	GO:0000786
ENSCHAG00000000376	GO:0046982
ENSCHAG00000000376	GO:0003677
